,BBCA,BBRI,BMRI,BYAN,TPIA,TLKM,BBNI,ASII,ICBP,BRIS,AMRT,UNVR,HMSP,DSSA,SMMA,UNTR,ISAT,BRPT
2020-11-16,32400,3960,6200,14500,8450,3070,5675,5925,9750,1295,730,7725,1445,17300,15175,21250,2220,935
2020-11-17,32750,3960,6250,14300,8575,3220,5750,5800,10250,1305,720,7775,1500,17300,14600,21050,2230,930
2020-11-18,32850,4040,6350,14700,8700,3180,5725,5775,10275,1350,720,7800,1485,17300,14600,21000,2200,960
2020-11-19,33075,4040,6325,14700,8675,3170,5750,5725,10350,1355,715,7775,1560,17300,15600,21500,2190,960
2020-11-20,33000,4020,6300,14700,8750,3220,5675,5725,10100,1335,705,7725,1525,17300,14550,21300,2200,955
2020-11-23,33000,4080,6400,14700,8775,3320,5900,5800,10200,1345,710,7825,1525,17300,14500,22100,2280,1045
2020-11-24,32825,4200,6425,14500,8875,3350,5950,5800,10125,1350,710,7850,1570,17300,14150,22425,2320,1085
2020-11-25,32050,4320,6525,14500,8975,3280,6050,5550,10000,1375,710,7725,1555,17300,14400,24225,2300,1080
2020-11-26,32400,4290,6725,14400,9275,3470,6300,5650,10125,1375,710,7750,1585,17300,13850,24500,2330,1135
2020-11-27,31925,4270,6650,15500,9250,3460,6350,5550,10600,1470,715,7750,1600,17275,13900,24725,2350,1115
2020-11-30,31025,4090,6325,15500,9300,3230,6000,5300,9900,1430,710,7725,1525,17275,13700,23000,2200,1050
2020-12-01,31975,4240,6525,15500,9500,3240,6250,5550,10100,1455,710,7700,1565,16300,13700,24175,2230,1085
2020-12-02,32250,4300,6650,15500,9675,3330,6350,5725,10175,1455,715,7650,1655,16200,13275,26000,2510,1120
2020-12-03,32300,4400,6575,15850,9750,3300,6350,5625,10025,1485,710,7550,1665,16200,13300,26100,2480,1125
2020-12-04,31950,4300,6600,15750,9750,3250,6350,5700,9950,1465,715,7600,1645,16000,13100,26500,2580,1120
2020-12-07,32600,4400,6700,15750,9775,3330,6650,5850,9950,1475,750,7675,1680,16000,12450,26975,2660,1220
2020-12-08,32450,4400,6675,15800,9850,3300,6650,5700,9800,1460,740,7625,1795,15975,12050,26775,2640,1215
2020-12-09,32450,4400,6675,15800,9850,3300,6650,5700,9800,1460,740,7625,1795,15975,12050,26775,2640,1215
2020-12-10,32875,4330,6800,15800,9950,3260,6600,5825,9950,1490,730,7550,1670,15975,12000,26025,2560,1195
2020-12-11,33675,4280,6775,15850,9975,3280,6575,5675,9825,1785,730,7475,1555,15975,12000,26150,2670,1230
2020-12-14,34100,4280,6725,15850,9750,3320,6575,5675,9825,2160,730,7500,1625,15475,12000,27400,3330,1245
2020-12-15,33950,4280,6700,14800,9500,3450,6500,5950,9700,2100,735,7475,1595,14450,12000,26575,3390,1250
2020-12-16,34750,4320,6775,14700,9450,3610,6675,6125,9775,2120,735,7500,1600,14450,11850,27175,4230,1260
2020-12-17,34675,4330,6875,14900,9100,3540,6675,6200,9725,2130,725,7425,1590,14450,12000,27125,3940,1260
2020-12-18,34000,4280,6700,14525,9075,3510,6650,6200,9700,2290,730,7600,1570,14450,11750,26625,4560,1250
2020-12-21,34150,4210,6700,14525,9075,3520,6600,6150,9775,2410,745,7625,1530,14500,11750,28275,5500,1270
2020-12-22,33575,4130,6400,15500,9175,3360,6300,6075,9600,2320,730,7475,1520,15250,11500,26450,5250,1210
